Id;Area;Description
B-01;Risk Reduction;Prevent unplanned outages caused by full filesystems by continuously tracking size_used_bytes vs size_total_bytes per FS and inode exhaustion (inodes_used vs inodes_total), flagging saturation before it causes application crashes, failed writes, or AIX/Linux boot failures on critical mounts (/, /var, /tmp).
B-02;Capacity Planning;Enable accurate storage growth forecasting by collecting usage metrics repeatedly over time (UTC time series) and computing growth_rate and projected_days_to_full, so procurement and expansion of VG/PV capacity is planned proactively instead of reacting to emergencies.
B-03;Cost Saving;Reduce storage spend by identifying useless, obsolete or stale data via mtime_age_histogram, last_modified_age_days and large_alloc_histogram, allowing reclamation of allocated-but-wasted capacity and deferral of disk purchases across the >=500 server fleet.
B-04;Risk Reduction;Eliminate client/business data sitting on system partitions by detecting data_present_on_system_flag and system_partition_unexpected_usage_bytes (data on rootvg/system mounts), reducing data-loss exposure, backup-scope errors, and compliance breaches.
B-05;Compliance;Enforce storage configuration policies by comparing actual placement against machine-readable golden image models (RHEL 8/9, AIX hd-series, other distros) and producing auditable deviation reports with severity, supporting internal and client audit obligations.
B-06;Standardization;Drive uniform filesystem and volume-group structures across the mixed AIX + Linux fleet by normalizing account-specific naming and measuring deviation_type counts against reference standards, lowering the cognitive load and error rate of operations teams.
B-07;Operational Efficiency;Accelerate incident resolution by delivering prioritized, actionable remediation recommendations (recommendation_text with severity and confidence_score) so engineers act on a ranked worklist instead of manually diagnosing each host.
B-08;Reliability;Improve fleet reliability by validating correct separation of datavg from rootvg and presence of expected separate filesystems (is_separate_filesystem), preventing single-VG saturation from taking down the operating system.
B-09;Scalability;Support smooth fleet growth by operating a metadata-only, Ansible-collected pipeline that scales to 500+ heterogeneous servers, with snapshot_id/scan_timestamp versioning enabling onboarding of new hosts and standards without re-architecture.
B-10;Cost Saving;Optimize allocated-vs-used capacity by surfacing over-provisioned volume groups (vg_free_bytes vs vg_size_bytes) and under-utilized logical volumes, enabling reallocation of free PE/PV capacity instead of provisioning new storage.
B-11;Risk Reduction;Reduce security and integrity risk by reporting world_writable_dir_count and non-compliant mount_options (e.g. missing nodev/nosuid on data mounts), tightening the attack surface on system partitions.
B-12;Operational Efficiency;Increase analyst trust and throughput by routing only low-confidence findings (confidence_score below threshold) to account teams for validation, while auto-confirming high-confidence deviations, minimizing manual review effort.
B-13;Capacity Planning;Provide management visibility through dashboards and structured data aggregating capacity, deviation and forecast KPIs across accounts (gsma_code) and environments (prod/test), enabling data-driven storage governance decisions.
