Id;Risk;Category;Likelihood;Impact;Severity;Mitigation;Owner;Status
"RSK-01";"GB/GiB rounding and unit drift in reports; values diverge from canonical bytes";"Data Quality";"Medium";"Medium";"Medium";"Store and compute ALWAYS in bytes (schema invariant); round only at presentation layer; unit assertions in validation";"Data Engineer";"Open"
"RSK-02";"Missing AIX golden image / reference standard; nothing to deviate against for rootvg/datavg/JFS2";"Standards";"Medium";"High";"High";"Build AIX golden image early; layered inheritance (OS-family -> distro -> version -> role); flag hosts with no applicable standard";"Standards Owner";"Open"
"RSK-03";"Inconsistent naming (VG/LV/mount/host) defeats grouping and standard matching";"Data Quality";"High";"Medium";"High";"Normalization + canonical naming dictionary; fuzzy match with human confirmation; record raw + normalized";"Data Engineer";"Open"
"RSK-04";"False positives/negatives in deviation detection erode trust and hide real risk";"Detection Accuracy";"High";"High";"Critical";"Calibrate thresholds per OS/fstype/role; severity tiers; human-in-the-loop on high-impact; precision/recall tracking on labeled set";"ML/Detection Lead";"Open"
"RSK-05";"LLM hallucination (LangGraph agents invent mounts, standards, or remediations)";"AI/Agentic";"Medium";"High";"High";"Ground every claim in collected JSON; constrained tool outputs; cite snapshot fields; deterministic checks gate LLM narrative";"AI Lead";"Open"
"RSK-06";"Broken FS<->topology linkage (group_ref/backing_ref not resolving) breaks storage_class derivation";"Schema Integrity";"Medium";"High";"High";"Referential-integrity validation on every snapshot; orphan-ref alerts; derive storage_class only when links resolve, else mark unknown";"Data Engineer";"Open"
"RSK-07";"Single-snapshot view: no history -> no growth trend, no forecasting";"Forecasting";"High";"High";"Critical";"Persist time-series of snapshots; require >=N points before forecasting; gate objectives 3/4 on history availability";"Data Engineer";"Open"
"RSK-08";"Privacy / scope creep: collection captures sensitive content beyond metadata";"Compliance";"Low";"High";"High";"Metadata-only contract; non-sensitive aggregates only; ACL summaries non-sensitive; review collection commands; DLP review";"Security/Compliance";"Open"
"RSK-09";"Command variance across OS versions yields inconsistent or unparseable output";"Collection";"High";"Medium";"High";"Version-aware command matrix; parser per command/version; collection_method + scan_confidence recorded; fail-soft per field";"Collection Eng";"Open"
"RSK-10";"Data volume at >=500 hosts x fields x snapshots overwhelms storage/processing";"Scalability";"Medium";"Medium";"Medium";"One JSON doc/host; columnar/partitioned store for history; incremental processing; retention policy";"Platform Eng";"Open"
"RSK-11";"Incomplete collection (host unreachable, partial scan) skews fleet view";"Collection";"High";"Medium";"High";"scan_confidence + completeness flags; exclude partial from aggregates; retry/backfill; surface coverage metrics";"Collection Eng";"Open"
"RSK-12";"Reference/standards drift: standards age and diverge from real fleet state";"Standards";"Medium";"Medium";"Medium";"Versioned standards with effective dates; periodic review cadence; drift report standards-vs-fleet";"Standards Owner";"Open"
"RSK-13";"Validation bottleneck: human review can't keep pace with fleet-scale deviations";"Operational";"Medium";"Medium";"Medium";"Auto-triage by severity; batch low-risk; only high-impact to humans; feedback loop to tune thresholds";"Operations Lead";"Open"
"RSK-14";"Data-at-rest security of the storage inventory (still infra-sensitive even if non-sensitive content)";"Security";"Low";"High";"High";"Encrypt at rest; access control + audit; least privilege; segregate from production credentials";"Security/Compliance";"Open"
